loan_id,customer_id,application_date,loan_type,requested_loan_amount,approved_loan_amount,loan_tenure_months,interest_rate,monthly_income,monthly_expenses,employment_type,credit_score,existing_loan_amount,loan_status,repayment_status,emi_amount,city,income_segment
LOAN007434,CUST002579,2023-01-01,Personal,252200.0,225800.0,7,13.28,21014.01,6544.62,Self-employed,680,34102.22,Approved,On-time,33700.77,Kanpur,Low
LOAN001381,CUST001547,2023-01-01,Personal,811500.0,734400.0,43,12.05,110163.49,26971.26,Self-employed,827,0.0,Approved,On-time,21115.2,Jaipur,High
LOAN004633,CUST002304,2023-01-01,Gold,231100.0,185200.0,11,8.48,51653.29,35022.83,Salaried,702,144230.0,Approved,Late,17558.6,Kanpur,Mid
LOAN003608,CUST000872,2023-01-01,Business,4274200.0,3947300.0,118,11.91,142473.7,82212.72,Salaried,776,442534.81,Approved,On-time,56927.13,Pune,High
LOAN000220,CUST002568,2023-01-01,Vehicle,1300500.0,1008700.0,30,9.97,112508.4,25798.71,Salaried,712,105300.56,Approved,On-time,38126.3,Kanpur,High
LOAN001322,CUST000294,2023-01-01,Business,147800.0,0.0,25,12.51,30125.01,12331.25,Unemployed,649,0.0,Rejected,Not Started,0.0,Bengaluru,Low
LOAN001949,CUST002663,2023-01-01,Vehicle,1843300.0,1538200.0,51,8.75,92167.11,33754.79,Salaried,842,18527.66,Approved,On-time,36224.16,Ahmedabad,High
LOAN001217,CUST001851,2023-01-01,Business,271900.0,271900.0,65,12.97,15889.79,9587.24,Business,608,5690.13,Approved,On-time,5844.79,Chennai,Low
LOAN000661,CUST000765,2023-01-01,Personal,134500.0,0.0,41,14.75,28578.97,18914.6,Freelancer,577,0.0,Rejected,Not Started,0.0,Patna,Low
LOAN005283,CUST001143,2023-01-02,Personal,260400.0,176700.0,17,12.56,63969.95,29457.77,Salaried,756,0.0,Approved,On-time,11400.42,Chennai,Mid
LOAN000084,CUST000048,2023-01-02,Home,1979400.0,1832400.0,213,8.76,32990.29,17040.51,Unemployed,677,44902.64,Approved,On-time,16984.05,Mumbai,Low
LOAN003102,CUST000111,2023-01-02,Business,1051500.0,1051500.0,120,12.41,74227.85,28311.92,Salaried,678,0.0,Approved,On-time,15336.24,Coimbatore,Mid
